member_id,member_external_id,member_token,dob,gender,state,ssn_masked,full_name
1,MBR000001,tok_7777305355,1987-10-03,M,FL,899-**-****,Member001 Last110
2,MBR000002,tok_5256490374,1970-05-03,M,VA,975-**-****,Member002 Last66
3,MBR000003,tok_6698144913,1979-11-16,F,SC,624-**-****,Member003 Last103
4,MBR000004,tok_488946729,1971-01-06,M,TN,912-**-****,Member004 Last79
5,MBR000005,tok_8293169353,2008-05-25,F,NC,410-**-****,Member005 Last58
6,MBR000006,tok_4188558101,2006-06-15,F,NC,929-**-****,Member006 Last69
7,MBR000007,tok_4093429330,1978-07-10,F,FL,563-**-****,Member007 Last51
8,MBR000008,tok_1547818549,1975-09-03,F,FL,951-**-****,Member008 Last2
9,MBR000009,tok_4271669500,1981-09-20,F,NC,294-**-****,Member009 Last5
10,MBR000010,tok_3290302315,2003-03-12,F,FL,896-**-****,Member010 Last4
11,MBR000011,tok_5570108386,1970-08-21,M,GA,705-**-****,Member011 Last57
12,MBR000012,tok_644785461,1997-02-03,F,FL,755-**-****,Member012 Last30
13,MBR000013,tok_9286786019,1978-04-26,M,VA,778-**-****,Member013 Last1
14,MBR000014,tok_3625471248,1982-10-24,F,VA,384-**-****,Member014 Last84
15,MBR000015,tok_3175434086,2002-02-26,M,FL,960-**-****,Member015 Last120
16,MBR000016,tok_1700464750,2008-04-17,F,TN,422-**-****,Member016 Last33
17,MBR000017,tok_8119000490,1980-11-27,F,FL,130-**-****,Member017 Last37
18,MBR000018,tok_8568331558,2013-06-28,F,FL,210-**-****,Member018 Last99
19,MBR000019,tok_4238832813,1985-06-25,M,NC,397-**-****,Member019 Last109
20,MBR000020,tok_1691419648,1983-07-19,M,NC,967-**-****,Member020 Last3
21,MBR000021,tok_6668802959,1973-01-05,F,SC,153-**-****,Member021 Last27
22,MBR000022,tok_7032741380,1963-09-12,M,VA,506-**-****,Member022 Last91
23,MBR000023,tok_6403754044,2008-09-03,M,NC,744-**-****,Member023 Last73
24,MBR000024,tok_4127087175,1992-10-07,F,TN,444-**-****,Member024 Last35
25,MBR000025,tok_1758651881,1968-06-22,F,GA,115-**-****,Member025 Last43
26,MBR000026,tok_5572458930,2013-07-06,M,NC,352-**-****,Member026 Last18
27,MBR000027,tok_7938208789,1973-06-09,F,NC,576-**-****,Member027 Last8
28,MBR000028,tok_9889055733,1997-02-12,M,SC,672-**-****,Member028 Last88
29,MBR000029,tok_4634544455,2013-08-28,F,VA,295-**-****,Member029 Last66
30,MBR000030,tok_3205118944,1991-07-24,F,VA,492-**-****,Member030 Last83
31,MBR000031,tok_40214784,1983-05-07,F,VA,317-**-****,Member031 Last54
32,MBR000032,tok_7811729717,2008-06-08,F,GA,922-**-****,Member032 Last111
33,MBR000033,tok_8548686777,1987-03-31,M,NC,291-**-****,Member033 Last27
34,MBR000034,tok_8578164462,2004-05-08,M,FL,690-**-****,Member034 Last83
35,MBR000035,tok_5938656224,1971-11-02,F,NC,318-**-****,Member035 Last19
36,MBR000036,tok_5876280303,1964-09-19,M,GA,891-**-****,Member036 Last2
37,MBR000037,tok_4039296332,1976-10-28,M,GA,175-**-****,Member037 Last50
38,MBR000038,tok_6929737591,1974-05-18,F,NC,696-**-****,Member038 Last27
39,MBR000039,tok_6596733734,1982-02-06,F,NC,477-**-****,Member039 Last77
40,MBR000040,tok_913912578,1997-09-20,M,FL,230-**-****,Member040 Last59
41,MBR000041,tok_7294034612,1998-04-15,M,FL,987-**-****,Member041 Last18
42,MBR000042,tok_3780944747,2005-08-11,M,SC,257-**-****,Member042 Last81
43,MBR000043,tok_2155956190,2010-03-08,M,SC,725-**-****,Member043 Last105
44,MBR000044,tok_940434291,1962-07-23,F,TN,262-**-****,Member044 Last25
45,MBR000045,tok_77806423,1974-10-07,F,TN,594-**-****,Member045 Last50
46,MBR000046,tok_7504887803,1974-02-19,F,VA,206-**-****,Member046 Last7
47,MBR000047,tok_9041484718,1976-11-14,F,NC,361-**-****,Member047 Last66
48,MBR000048,tok_2938500459,1995-01-14,F,TN,501-**-****,Member048 Last91
49,MBR000049,tok_7003715079,1999-05-20,M,VA,710-**-****,Member049 Last106
50,MBR000050,tok_4614638974,1972-01-17,M,GA,279-**-****,Member050 Last67
51,MBR000051,tok_4328935214,1988-05-03,F,SC,590-**-****,Member051 Last30
52,MBR000052,tok_5812160641,2002-03-01,F,GA,308-**-****,Member052 Last28
53,MBR000053,tok_7370555985,2007-05-27,F,NC,521-**-****,Member053 Last35
54,MBR000054,tok_8840488887,1993-03-25,M,SC,147-**-****,Member054 Last8
55,MBR000055,tok_4751042686,1980-08-31,F,GA,643-**-****,Member055 Last48
56,MBR000056,tok_7030070655,1979-10-31,F,NC,241-**-****,Member056 Last47
57,MBR000057,tok_3604391793,1961-02-22,M,GA,850-**-****,Member057 Last85
58,MBR000058,tok_8068291170,1982-06-25,F,FL,118-**-****,Member058 Last5
